Index,Title,Date,Content,Page,Username,Total reviews,Location,Rating
308,Good company!,"July 12, 2020","I started to order from there from the last year when was monopoly game at Mcdonalds. I won retro photomagnets. I was satisfied with my gift, so after I used more times! I ordered photo prints, photo books, canvas, photo magnets. I always got premium quality. I got issue only one time, when pandemic started my order is arrived in 5weeks to the UK. The customer service was very kind and they send me my prints one more time. So i am recommending them!",16,Lilla,6 reviews,GB,5
309,Take your money without telling you,"July 01, 2020","I have used Cheerz for years, there magnets are lovley and good quality. Until they started forcing people to use the app to order! Last year i attempted an order on the app, it just wouldnt work, a number of times i tried checking out but it just kept asking me to add more pictures, i gave up in the end deleted the app and that was the end of it. A couple of days ago i attempted it again, the website sent me through to the app, but this time i could upload my pictures, added what i needed and checked out for £17...fantastic! THEN i received an email confirmation for £47!!! I checked my bank and there was a transaction for £47!! I contacted them immediately!! The emails i have recieved so far have been appalling, each one not taking responsibility for whats happened and the go to copy and paste of terms and conditions is just sent to me advising why thwy cant refund. Today i received an email advising they can see i had the old version of the app and thats how old orders were added to my basket without me seeing them, and they would offer me an instore credit valid for 1 month!? Bear in mind this credit is for £32 and there is NO WAY i will spend £32 on magnets (thats all i buy) in 1 month, especially as were in the middle of a pandemic so we havent even been anywhere for any pictures to be worth making into magnets! So after explaining this they then offer me 3 months extension on this, i jave advised them i am still not happy and waiting on a reply but im not holding my breath. DO NOT USE THIS COMPANY UNLESS YOU ARE HAPPY THEM TAKING MOMEY WITHOUT ASKING YOU.**Update: After 2 long weeks of emails back and forth and i contacted the founder from the spanish branch on LinkedIn and another founder on Instagram (not sure if that had anything to do with it) but another colleague has been in touch and accepted my request to be refunded. I have had a confirmation email to advise my money will be back in my account shortly.",16,Becky,2 reviews,GB,1
310,This is going to be a positive review... maybe not,"July 01, 2020","I was hoping to write a positive review but this isn’t it. Fell foul of a discount scam which then cost me money but that’s not the problem or reason for the bad rating. My order was placed over a year ago but for some unknown never arrived. I did contact Cheerz support after approx a week but due to my email account being hacked I wasn’t able to provide an order reference and the customer service rep couldn’t find the order on my delivery address or name.Time rolls by and I’m able to access my email account again and whilst tidying up my historical emails I see an email from Cheerz asking for feedback so I completed it. Then their customer service team contact me, to offer some service recovery and they confirm now that they have the order ref, they can find and confirm my name and delivery address (which didn’t apparently exist previously).Cut a long story short, one of the customer service team tell me that they will reprint the order and post them out shortly to the original address. This sounds positive but stick with me, now as the original order is over a year ago, I’m now a little concerned that they would still have the images of my daughter so I queried this. This then prompted a very short email from another customer service rep, telling me that they had made a mistake and hadn’t realised that the order was over a year old and as the complaint was outside of their fifteen day cut off they couldn’t confirm my details and could do nothing for me. So in essence, when querying the missing order with fifteen days of the order I was advised they couldn’t find it.Then over a year later they actually confirm the details back to me.Then when asked how they can reprint the order, they say that it’s outside of the fifteen day complaint period, they state that they can’t confirm my details. All in all very weird, I’m not too sure they understand consumer rights and their systems to lose and find orders at will. Thankfully the order only cost me a few pounds due to the discount code but the customer service experience is at best obstructive and worst laughable with apparent breaches of GDPR data management.I won’t be using again and have asked that they remove my details from the system (assuming they can find them again) and not sell them to any third parties.",16,Mark,5 reviews,GB,1
311,Amazing!,"June 22, 2020","I felt like it was a bit expensive for someone with a small budget (me). Nevertheless, I spent many hours editing 100 photos, and also ordered Express Delivery (because otherwise it would take way too long and not be here in time for a special date - so it was great that they had that option). Being able to track the product's journey the whole way was great too. It arrived really fast and I was able to organize things as I wanted! After reading a few bad reviews, I was a bit scared, but... Everything came perfectly, and the photos with great quality. I was really really happy!",16,Bruna Vieira,1 review,PT,5
312,A Good present to feel special to someone .Great memories,"June 18, 2020",A Good present to feel special to someone. I recomended. :),16,Belén Delgado,4 reviews,ES,5
313,I love Cheerz,"June 17, 2020","I love Cheerz: very cute products, top-service and quick delivery!",16,Coco,10 reviews,CH,5
314,Do not use,"June 11, 2020","Do not use. One big con... Was offered a discount if I ordered more magnets, their website crashed so the discount wasnt applied. Thought I would still go ahead with the order so I didnt lose all the photos I had selected thinking that customer service would correct the price. Emailed them straight after to be told I shouldn't have gone ahead with the order and they are not going to refund the difference! They replied - ' and you certainly noticed that the reduction was not taken into account'... then another to say ' I am unable to reject this fault on our company'... Absolutely disgusting customer service.... also cant cancel the order.. their website timed out so the discount didn't apply and I get treated like it's my fault..... shocking customer service absolutely shocking over £7 due back to me! Maybe they are the one and only company that cant process a refund in this day and age!!! Do not use",16,tracey postma,2 reviews,GB,1
315,Highly recommended,"June 08, 2020","Just received another batch of photo magnets from Cheerz and, as usual, we’re thrilled with them. We’re building a travel board of places we’ve visited and only buy from Cheerz. Photographic quality is great, items are shipped quickly. Fantastic service!",16,Choi Lin Leung,21 reviews,GB,5
316,Ho ordinato un box foto e l’interno,"May 27, 2020","Ho ordinato un box foto e l’interno , rivestito con del cartone per far risaltare le foto, era completamente distrutto!",16,Benedetta Del Regno,1 review,IT,2
317,always a pleasure cheerz,"May 22, 2020",always a pleasure cheerz. Such a nice way to immortalize memories and cool ideas for gifts. Not too expensive and really good quality. I'm a fan.,16,June Georgia Addams Burton,1 review,FR,5
